2021-12-28 13:20:34,401 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,402 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,403 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,403 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,403 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,406 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,406 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,407 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,408 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,408 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,408 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,409 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,410 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,410 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,410 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,411 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,411 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,412 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,413 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,413 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,413 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,414 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,415 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,415 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,416 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,416 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,417 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,418 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,418 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,419 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,420 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,420 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,421 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2021-12-28 13:20:34,421 socket_client.py [line:54] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
